java -classpath ..\..\emma-2.0.5312\out\emma.jar emmarun -f -r arff -sp mozilla\js\rhino\src -Dreport.out.file mozilla\js\tests\ecma\String\15.5.4.5-4.interpreted.arff -classpath mozilla\js\rhino\build\classes org.mozilla.javascript.tools.shell.Main -opt -1 -f mozilla\js\tests\shell.js -f mozilla\js\tests\ecma\shell.js -f mozilla\js\tests\ecma\String\shell.js -f mozilla\js\tests\ecma\String\15.5.4.5-4.js  
EMMA: processing classpath ...
EMMA: [128 class(es) processed in 343 ms]
15.5.4.5-4 String.prototype.charCodeAt(pos)
(String.fromCharCode(32224)).charCodeAt(0) = 32224 PASSED!
(String.fromCharCode(33223)).charCodeAt(0) = 33223 PASSED!
(String.fromCharCode(34222)).charCodeAt(0) = 34222 PASSED!
(String.fromCharCode(35221)).charCodeAt(0) = 35221 PASSED!
(String.fromCharCode(36220)).charCodeAt(0) = 36220 PASSED!
(String.fromCharCode(37219)).charCodeAt(0) = 37219 PASSED!
(String.fromCharCode(38218)).charCodeAt(0) = 38218 PASSED!
(String.fromCharCode(39217)).charCodeAt(0) = 39217 PASSED!
(String.fromCharCode(40216)).charCodeAt(0) = 40216 PASSED!
(String.fromCharCode(41215)).charCodeAt(0) = 41215 PASSED!
(String.fromCharCode(42214)).charCodeAt(0) = 42214 PASSED!
(String.fromCharCode(43213)).charCodeAt(0) = 43213 PASSED!
(String.fromCharCode(44212)).charCodeAt(0) = 44212 PASSED!
(String.fromCharCode(45211)).charCodeAt(0) = 45211 PASSED!
(String.fromCharCode(46210)).charCodeAt(0) = 46210 PASSED!
(String.fromCharCode(47209)).charCodeAt(0) = 47209 PASSED!
(String.fromCharCode(48208)).charCodeAt(0) = 48208 PASSED!
(String.fromCharCode(49207)).charCodeAt(0) = 49207 PASSED!
(String.fromCharCode(50206)).charCodeAt(0) = 50206 PASSED!
(String.fromCharCode(51205)).charCodeAt(0) = 51205 PASSED!
(String.fromCharCode(52204)).charCodeAt(0) = 52204 PASSED!
(String.fromCharCode(53203)).charCodeAt(0) = 53203 PASSED!
(String.fromCharCode(54202)).charCodeAt(0) = 54202 PASSED!
(String.fromCharCode(55201)).charCodeAt(0) = 55201 PASSED!
(String.fromCharCode(56200)).charCodeAt(0) = 56200 PASSED!
(String.fromCharCode(57199)).charCodeAt(0) = 57199 PASSED!
(String.fromCharCode(58198)).charCodeAt(0) = 58198 PASSED!
(String.fromCharCode(59197)).charCodeAt(0) = 59197 PASSED!
(String.fromCharCode(60196)).charCodeAt(0) = 60196 PASSED!
(String.fromCharCode(61195)).charCodeAt(0) = 61195 PASSED!
(String.fromCharCode(62194)).charCodeAt(0) = 62194 PASSED!
(String.fromCharCode(63193)).charCodeAt(0) = 63193 PASSED!
(String.fromCharCode(64192)).charCodeAt(0) = 64192 PASSED!
(String.fromCharCode(65191)).charCodeAt(0) = 65191 PASSED!
(String.fromCharCode(65535)).charCodeAt(0) = 65535 PASSED!
EMMA: writing [arff] report to [C:\PROJECTS\concerntagger_1.5.3\tests\Rhino\mozilla\js\tests\ecma\String\15.5.4.5-4.interpreted.arff] ...
